,fold-1_image_number,fold-2_image_number,fold-3_image_number,fold-4_image_number,fold-5_image_number
0,172,175,175,219,172
1,393,394,394,440,391
2,609,610,550,579,530
3,793,847,787,761,712
4,975,1029,971,962,891
5,1175,1184,1126,1134,1091
6,1336,1345,1298,1354,1311
7,1492,1529,1498,1533,1485
8,1668,1726,1695,1770,1706
9,1840,1898,1834,1970,1913
10,2014,2072,2013,2142,2295
11,2189,2248,2189,2342,2492
12,2396,2455,2405,2724,2729
13,2535,2627,2626,2879,2905
14,2736,2828,2827,3040,3066
15,2891,3048,3047,3214,3282
16,3070,3248,3247,3370,3438
17,3452,3630,3454,3554,3638
18,3452,3630,3454,3751,3813
